raymond_cp,cipla_cp,fortis_cp,jet_cp,titan_cp
993.95,533.5,144.9,391.7,920.1
1028.95,536.65,142.95,405.0,921.3
1054.05,539.5,145.05,436.8,924.4
1010.05,530.6,147.05,420.75,928.9
1007.75,525.6,143.95,425.3,914.5
981.4,524.8,145.6,412.85,913.6
975.25,524.5,147.15,399.15,900.1
951.15,520.7,145.8,402.8,900.0
951.8,542.1,144.15,395.3,885.35
978.1,538.45,145.0,402.4,863.95
978.25,540.7,144.6,412.05,899.45
985.35,559.65,145.75,399.7,887.15
985.4,560.8,146.2,400.2,896.0
989.5,567.1,143.75,390.7,903.35
987.6,582.1,139.95,392.3,904.7
997.8,588.05,138.45,388.6,918.15
985.75,611.6,136.75,387.85,905.25
986.9,606.5,138.9,391.05,903.45
961.55,601.85,137.5,388.35,897.7
968.65,602.85,136.3,381.25,889.0
953.7,603.5,135.55,374.5,888.35
961.05,615.75,134.8,387.5,868.4
956.3,611.4,139.2,378.05,877.55
954.85,599.5,137.6,375.35,864.0
909.45,602.3,134.6,354.55,872.15
892.55,600.9,135.75,332.3,869.65
916.9,616.65,134.95,346.9,836.35
893.2,617.0,134.85,342.75,878.5
890.7,640.4,133.65,342.25,897.4
893.55,628.9,142.1,340.45,893.2
883.25,626.55,144.4,334.45,886.55
893.45,612.5,139.4,345.0,838.0
900.15,622.9,138.5,345.9,829.65
923.65,632.05,140.8,348.7,821.8
900.7,625.3,140.25,338.6,832.85
899.55,633.35,137.95,344.65,809.5
885.6,626.7,142.2,331.95,808.45
827.95,620.95,147.8,305.85,838.7
838.5,637.45,145.3,315.3,831.2
816.95,627.4,142.25,307.65,845.15
820.7,610.1,141.95,309.8,846.2
800.3,625.8,137.25,303.1,869.85
817.3,634.1,135.55,315.25,860.4
836.5,627.35,132.85,317.0,858.75
847.25,623.9,132.9,308.25,861.65
838.0,627.85,134.35,307.5,865.9
852.95,636.2,139.7,312.95,854.5
850.15,634.3,136.6,318.35,884.1
836.05,641.35,137.1,309.0,892.05
801.5,639.15,139.65,311.05,912.35
793.05,638.5,145.95,331.15,917.35
